player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label,vegas_player_name,vegas_market,vegas_td_line,vegas_diff
00-0039894,Xavier Worthy,KC,WR,WR,2025,2026,84,1,2.535914497193538,1.535914497193538,0.1315558521701958,19.276333628342027,0.06833031566441872,0.0,0.06833031566441872,1.3171579616772604,2.8530724588707983,3.8530724588707983,Positive,Xavier Worthy,rec_only,4.0,-0.1469275411292017
00-0037238,Drake London,ATL,WR,WR,2025,2026,112,7,6.078272372993246,-0.9217276270067538,0.5040858664054142,12.058009910765396,0.3295204424631752,0.26778076167071196,0.061739680792463225,0.7444576828830135,-0.1772699441237403,6.82273005587626,Neutral,Drake London,rec_only,7.0,-0.17726994412373998
00-0038124,Christian Watson,GB,WR,WR,2025,2026,56,6,2.7416881994326077,-3.2583118005673923,0.20664983743539925,13.267313603813921,0.27115585731598524,0.004220888853453277,0.26693496846253195,3.5415099384165902,0.2831981378491979,6.2831981378491975,Neutral,Christian Watson,rec_only,6.5,-0.21680186215080255
00-0033921,Chris Godwin Jr.,TB,WR,WR,2025,2026,51,2,2.999375253327168,0.9993752533271678,0.18072629890845654,16.596230163748576,0.10910077906825798,0.043170974958668715,0.06592980410958926,1.0941862036536,2.093561456980768,4.093561456980768,Positive,Chris Godwin,rec_only,4.5,-0.4064385430192319
00-0039064,Zay Flowers,BAL,WR,WR,2025,2026,128,6,3.9705381317485635,-2.0294618682514365,0.4432403942944431,8.957978972266115,0.11669860279234039,0.0,0.11669860279234039,1.045383629906621,-0.9840782383448154,5.015921761655185,Negative,Zay Flowers,rec_only,5.5,-0.4840782383448152
00-0038994,Jordan Addison,MIN,WR,WR,2025,2026,81,4,4.474302488397202,0.47430248839720157,0.28143056762116325,15.898423992166013,0.1004810678598114,0.1336690724183411,-0.033188004558529716,-0.5276369679254438,-0.05333447952824222,3.9466655204717576,Neutral,Jordan Addison,rec_only,4.5,-0.5533344795282424
00-0036158,J.K. Dobbins,DEN,RB,RB,2025,2026,167,4,4.938491115757452,0.9384911157574516,0.2647302345108184,18.654805805929342,0.0,0.0,0.0,0.0,0.9384911157574516,4.938491115757452,Neutral,J.K. Dobbins,rush_only,5.5,-0.5615088842425484
00-0036322,Justin Jefferson,MIN,WR,WR,2025,2026,143,2,7.218653545192752,5.218653545192752,0.454048372892166,15.898423992166013,0.1621119758022471,0.21565612204304455,-0.05354414624079745,-0.8512675392347399,4.3673860059580125,6.3673860059580125,Strong Positive (Buy),Justin Jefferson,rec_only,7.0,-0.6326139940419875
00-0038120,Breece Hall,NYJ,RB,RB,2025,2026,291,5,6.632188406719932,1.6321884067199317,0.5540761407686374,11.96981410807454,0.018766637026164927,0.0,0.018766637026164927,0.224633156636903,1.8568215633568348,6.856821563356835,Positive,Breece Hall,rush_rec,7.5,-0.643178436643165
00-0035261,Tony Pollard,TEN,RB,RB,2025,2026,283,5,5.660807224173878,0.6608072241738778,0.5327214888539861,10.626204015820079,0.0,0.12275858812463634,-0.12275858812463634,-1.3044578021064137,-0.6436505779325359,4.356349422067464,Negative,Tony Pollard,rush_only,5.0,-0.6436505779325357
00-0039849,Marvin Harrison Jr.,ARI,WR,WR,2025,2026,73,4,3.8569033821767755,-0.14309661782322447,0.29300999000755845,13.163043970198025,0.1033463128023373,0.06638091126517758,0.03696540153715973,0.4865772058096592,0.3434805879864347,4.343480587986435,Neutral,Marvin Harrison,rec_only,5.0,-0.6565194120135649
00-0039040,De'Von Achane,MIA,RB,RB,2025,2026,323,12,8.700408421827747,-3.2995915781722527,0.5233907504170128,16.623160449235446,0.005521022188797531,0.0,0.005521022188797531,0.09177683768817042,-3.2078147404840824,8.792185259515918,Strong Negative (Sell),De'Von Achane,rush_rec,9.5,-0.707814740484082
00-0036970,Kyle Pitts,ATL,TE,TE,2025,2026,118,5,4.825083349597617,-0.17491665040238313,0.928434477864647,5.197010090248984,0.001047785235241847,0.20044396849317447,-0.19939618325793262,-1.0362639763486114,-1.2111806267509946,3.788819373249005,Negative,Kyle Pitts Sr.,rec_only,4.5,-0.7111806267509948
00-0036040,Juwan Johnson,NO,TE,TE,2025,2026,102,3,3.083049096920836,0.08304909692083617,0.7048348986147076,4.374143651201585,0.13050038589922167,0.23850895723056342,-0.10800857133134176,-0.4724450065643421,-0.3893959096435059,2.610604090356494,Negative,Juwan Johnson,rec_only,3.5,-0.8893959096435058
00-0038129,Cade Otton,TB,TE,TE,2025,2026,81,1,2.5503360257765784,1.5503360257765784,0.8133093279470958,3.1357515992272904,0.0,0.0,0.0,0.0,1.5503360257765784,2.5503360257765784,Positive,Cade Otton,rec_only,3.5,-0.9496639742234216
00-0035659,Terry McLaurin,WAS,WR,WR,2025,2026,60,3,2.882274131692125,-0.11772586830787501,0.21519447649132975,13.393810931798022,0.22653214043166564,0.11016819874707419,0.11636394168459145,1.5585566342021886,1.4408307658943136,4.440830765894313,Neutral,Terry McLaurin,rec_only,5.5,-1.0591692341056866
00-0033288,George Kittle,SF,TE,TE,2025,2026,70,7,4.436828775189654,-2.563171224810346,0.47625267073198563,9.316123662614606,0.0,0.0,0.0,0.0,-2.563171224810346,4.436828775189654,Strong Negative (Sell),George Kittle,rec_only,5.5,-1.063171224810346
00-0040189,Oronde Gadsden II,LAC,TE,TE,2025,2026,69,3,4.4096486494102045,1.4096486494102045,0.8662537104338653,5.090481687174097,0.1337462895661346,0.4281906226291909,-0.2944443330630563,-1.4988634853496785,-0.08921483593947399,2.910785164060526,Neutral,Oronde Gadsden,rec_only,4.0,-1.0892148359394742
00-0040667,Matthew Golden,GB,WR,WR,2025,2026,54,0,1.1903725671941257,1.1903725671941257,0.08972220019371006,13.267313603813921,0.11772910356828759,0.0018326045614399378,0.11589649900684765,1.5376351979079563,2.728007765102082,2.728007765102082,Positive,Matthew Golden,rec_only,4.0,-1.271992234897918
00-0040735,Luther Burden III,CHI,WR,WR,2025,2026,66,2,1.6151553703209711,-0.3848446296790289,0.09292348016837709,17.381563490673337,0.11217763973627354,0.019744305814628355,0.09243333392164518,1.6066358622136852,1.2217912325346563,3.221791232534656,Neutral,Luther Burden III,rec_only,4.5,-1.278208767465344
00-0038996,Tucker Kraft,GB,TE,TE,2025,2026,45,6,2.8288894162144285,-3.1711105837855715,0.5106029617843166,5.540291827389316,0.15462148752048877,0.0,0.15462148752048877,0.856648163648543,-2.3144624201370285,3.6855375798629715,Strong Negative (Sell),Tucker Kraft,rec_only,5.0,-1.3144624201370285
00-0036410,Tee Higgins,CIN,WR,WR,2025,2026,98,11,5.931502342565743,-5.068497657434257,0.3204784915165253,18.508269664205805,0.0,0.0,0.0,0.0,-5.068497657434257,5.931502342565743,Strong Negative (Sell),Tee Higgins,rec_only,7.5,-1.568497657434257
