player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0035535,Darius Slayton,NYG,WR,WR,2025,2026,63,1,2.4480579131868305,1.4480579131868305,0.19697283329906282,12.428403816834766,0.1333980968141522,0.17432062527680736,-0.04092252846265515,-0.5086017089397926,0.9394562042470379,1.9394562042470378,Neutral
00-0036158,J.K. Dobbins,DEN,RB,RB,2025,2026,167,4,4.938491115757452,0.9384911157574516,0.2647302345108184,18.654805805929342,0.0,0.0,0.0,0.0,0.9384911157574516,4.938491115757452,Neutral
00-0038597,Chase Brown,CIN,RB,RB,2025,2026,320,11,11.930916724209675,0.9309167242096752,0.7524460933602348,15.85617472067561,0.0,0.0,0.0,0.0,0.9309167242096752,11.930916724209675,Neutral
00-0039405,Jawhar Jordan,HOU,RB,RB,2025,2026,50,0,0.924149549708358,0.924149549708358,0.05024611671436227,18.39245717160468,0.0303349355931626,0.030396541600421226,-0.0000616060072586265,-0.001133085850017855,0.9230164638583402,0.9230164638583402,Neutral
00-0039144,Luke Musgrave,GB,TE,TE,2025,2026,31,0,0.6868413555591045,0.6868413555591045,0.12397205363147024,5.540291827389316,0.03754138690555578,0.0,0.03754138690555578,0.20799023906171096,0.8948315946208155,0.8948315946208155,Neutral
00-0033526,Samaje Perine,CIN,RB,RB,2025,2026,105,3,3.8479357507821126,0.8479357507821126,0.24267743125740213,15.85617472067561,0.0,0.0,0.0,0.0,0.8479357507821126,3.8479357507821126,Neutral
00-0039874,Jaylen Wright,MIA,RB,RB,2025,2026,79,2,2.761721338606585,0.7617213386065851,0.1661369597580709,16.623160449235446,0.0017525067847929188,0.0,0.0017525067847929188,0.029132201471986422,0.7908535400785716,2.7908535400785714,Neutral
00-0035537,Ty Johnson,BUF,RB,RB,2025,2026,83,5,5.622089789611847,0.6220897896118469,0.2549726844039203,22.049772910989542,0.007489019972199693,0.0,0.007489019972199693,0.16513118971286844,0.7872209793247154,5.787220979324715,Neutral
00-0038618,Xavier Hutchinson,HOU,WR,WR,2025,2026,60,3,3.15889349608351,0.15889349608351022,0.16857774324719793,18.738496762596903,0.03297039478972241,0.0,0.03297039478972241,0.6178156360287552,0.7767091321122654,3.7767091321122654,Neutral
00-0040134,Pat Bryant,DEN,WR,WR,2025,2026,49,1,2.650253370305842,1.6502533703058422,0.13529839591293175,19.588209841093413,0.004115695044219979,0.04879493183500311,-0.04467923679078313,-0.8751862657977609,0.7750671045080813,1.7750671045080813,Neutral
00-0035229,T.J. Hockenson,MIN,TE,TE,2025,2026,67,3,3.549770891656401,0.5497708916564008,0.6501508618899077,5.459918766142459,0.03092213748641359,0.0,0.03092213748641359,0.16883235875130675,0.7186032504077076,3.718603250407708,Neutral
00-0039066,Michael Mayer,LV,TE,TE,2025,2026,50,1,2.2112439072659558,1.2112439072659558,0.2784219200997537,7.942061122463727,0.0,0.06399457474807012,-0.06399457474807012,-0.5082488241552466,0.7029950831107091,1.702995083110709,Neutral
00-0040581,Dont'e Thornton Jr.,LV,WR,WR,2025,2026,30,0,0.7366346386891303,0.7366346386891303,0.09652546850718549,7.631505447024006,0.02705729204816693,0.032914879673995825,-0.0058575876258288966,-0.04470221187293364,0.6919324268161966,0.6919324268161966,Neutral
00-0040666,Omarion Hampton,LAC,RB,RB,2025,2026,159,5,6.043837931285847,1.0438379312858466,0.38113282351096084,15.857563448906243,0.009075128695173476,0.0319087759638539,-0.022833647268680424,-0.36208601033304455,0.681751920952802,5.681751920952802,Neutral
00-0034837,Calvin Ridley,TEN,WR,WR,2025,2026,36,0,0.8662684415165481,0.8662684415165481,0.07796099488005624,11.111562170920351,0.011583771127639973,0.031340668102693675,-0.0197568969750537,-0.2195299890427774,0.6467384524737707,0.6467384524737707,Neutral
00-0030506,Travis Kelce,KC,TE,TE,2025,2026,109,5,5.556094664728758,0.5560946647287581,0.804786846792415,6.903808986035635,0.010309266598827537,0.0,0.010309266598827537,0.07117320738442258,0.6272678721131807,5.627267872113181,Neutral
00-0033955,Jeremy McNichols,WAS,RB,RB,2025,2026,75,1,1.7223513746916437,0.7223513746916437,0.09238745068146574,18.64269835337249,0.08351373972632758,0.09136857071013925,-0.007854830983811664,-0.14643524464792493,0.5759161300437188,1.5759161300437188,Neutral
00-0039139,Jahmyr Gibbs,DET,RB,RB,2025,2026,337,18,12.624632597363313,-5.375367402636687,0.5474294589351435,23.061660989017053,0.4520127891119699,0.19479451452006058,0.2572182745919093,5.931880648818511,0.5565132461818241,18.556513246181822,Neutral
00-0038935,Brenton Strange,JAX,TE,TE,2025,2026,60,3,3.1277482827336627,0.12774828273366268,0.5045841975333247,6.198664758079535,0.06737624387433395,0.0,0.06737624387433395,0.41764274843560606,0.5453910311692687,3.545391031169269,Neutral
00-0038738,Hunter Luepke,DAL,RB,RB,2025,2026,31,1,1.4723573557667113,0.47235735576671134,0.06442423334564158,22.854091997764055,0.0031080502938509802,0.0,0.0031080502938509802,0.0710316673493479,0.5433890231160592,1.5433890231160592,Neutral
00-0036755,Jaret Patterson,LAC,RB,RB,2025,2026,45,1,1.6063844931280056,0.6063844931280056,0.10130083970994952,15.857563448906243,0.0024120676587974146,0.008480995600112869,-0.006068927941315454,-0.09623840989624977,0.5101460832317558,1.510146083231756,Neutral
00-0039384,Tyrone Tracy Jr.,NYG,RB,RB,2025,2026,224,4,4.502918604947752,0.5029186049477516,0.2386783217432757,18.86605608778801,0.0,0.00020804879992209616,-0.00020804879992209616,-0.003925060328327252,0.4989935446194244,4.498993544619425,Neutral
00-0040142,Kaleb Johnson,PIT,RB,RB,2025,2026,30,0,0.3983798045178231,0.3983798045178231,0.017091802419944704,23.308238343133855,0.015580905414999659,0.011450573179721084,0.004130332235278575,0.09627076817620184,0.49465057269402496,0.49465057269402496,Neutral
00-0038440,Zavier Scott,MIN,RB,RB,2025,2026,48,1,1.2099102966981001,0.20991029669810013,0.09631191608947909,12.562415387666327,0.021122594668128124,0.0,0.021122594668128124,0.26535080828633145,0.4752611049844316,1.4752611049844315,Neutral
