player_id,player_name,team,position,position_group,season_prior,season_next,opportunities_prior,actual_td_prior,xtd_prior,regression_signal_efficiency,prior_group_share,team_group_xtd_pool_prior,vacated_opportunity_share_gained,stolen_opportunity_share_lost,net_opportunity_share_change,regression_signal_opportunity,combined_signal,projected_td_next_season,regression_label
00-0033921,Chris Godwin Jr.,TB,WR,WR,2025,2026,51,2,2.999375253327168,0.9993752533271678,0.18072629890845654,16.596230163748576,0.10910077906825798,0.043170974958668715,0.06592980410958926,1.0941862036536,2.093561456980768,4.093561456980768,Positive
00-0040719,Bhayshul Tuten,JAX,RB,RB,2025,2026,97,7,5.23413861613402,-1.76586138386598,0.27350593293511527,19.13720320420154,0.5335639751289812,0.3353116549120277,0.19825232021695355,3.793994937696273,2.028133553830293,9.028133553830294,Positive
00-0040466,Raheim Sanders,CLE,RB,RB,2025,2026,31,1,2.4161421070878397,1.4161421070878397,0.14640899106917724,16.502689414383227,0.03650610149211905,0.0,0.03650610149211905,0.6024488546543928,2.0185909617422326,3.0185909617422326,Positive
00-0040238,LeQuint Allen Jr.,JAX,RB,RB,2025,2026,34,0,1.1691136882843252,1.1691136882843252,0.06109114669523121,19.13720320420154,0.11917853015505941,0.07489626743750034,0.04428226271755907,0.8474386599677659,2.016552348252091,2.016552348252091,Positive
00-0036912,DeVonta Smith,PHI,WR,WR,2025,2026,113,4,3.9704661677490756,-0.02953383225092443,0.3794108715854477,10.46481918443099,0.5248654710717705,0.3317955729412963,0.1930698981304742,2.0204415738919232,1.9909077416409988,5.990907741640999,Positive
00-0039738,Blake Corum,LA,RB,RB,2025,2026,159,6,7.982824014755145,1.9828240147551446,0.3438805060774191,23.213947501164668,0.0,0.0,0.0,0.0,1.9828240147551446,7.982824014755145,Positive
00-0039041,Elijah Higgins,ARI,TE,TE,2025,2026,37,0,1.7667085456192813,1.7667085456192813,0.133967810742665,13.187560025242945,0.010637316264144252,0.0,0.010637316264144252,0.14028024674089537,1.9069887923601767,1.9069887923601767,Positive
00-0039893,Brian Thomas Jr.,JAX,WR,WR,2025,2026,94,3,3.6340693242048188,0.6340693242048188,0.1721485757492097,21.110074877988076,0.05960469339421218,0.0,0.05960469339421218,1.2582595406313404,1.8923288648361591,4.892328864836159,Positive
00-0038120,Breece Hall,NYJ,RB,RB,2025,2026,291,5,6.632188406719932,1.6321884067199317,0.5540761407686374,11.96981410807454,0.018766637026164927,0.0,0.018766637026164927,0.224633156636903,1.8568215633568348,6.856821563356835,Positive
00-0034829,Mike Gesicki,CIN,TE,TE,2025,2026,42,2,2.736834087430802,0.7368340874308021,0.343449787870837,7.968658546558945,0.13725240831616142,0.0,0.13725240831616142,1.0937175765643778,1.83055166399518,3.83055166399518,Positive
00-0040782,Isaiah Bond,CLE,WR,WR,2025,2026,49,0,1.9351786393491963,1.9351786393491963,0.21501458258615413,9.000220431903916,0.0,0.012503118569726222,-0.012503118569726222,-0.1125308232137672,1.8226478161354291,1.8226478161354291,Positive
00-0036988,Josh Palmer,BUF,WR,WR,2025,2026,37,0,1.8681158688451323,1.8681158688451323,0.1326599267682404,14.081990804267281,0.05323455839052442,0.05665646880315598,-0.003421910412631561,-0.0481873109637041,1.8199285578814282,1.8199285578814282,Positive
00-0037085,Tyler Badie,DEN,RB,RB,2025,2026,39,0,1.8089959053614777,1.8089959053614777,0.09697211132514158,18.654805805929342,0.0,0.0,0.0,0.0,1.8089959053614777,1.8089959053614777,Positive
00-0033908,Cooper Kupp,SEA,WR,WR,2025,2026,70,2,3.7597486260769344,1.7597486260769344,0.23747632917963868,15.83209846246561,0.0007715559104068129,0.0,0.0007715559104068129,0.012215349142857957,1.7719639752197924,3.7719639752197924,Positive
00-0033881,Evan Engram,DEN,TE,TE,2025,2026,77,1,2.76742162775421,1.76742162775421,0.6428583520988613,4.304869989973507,0.0,0.0,0.0,0.0,1.76742162775421,2.76742162775421,Positive
00-0040718,Travis Hunter,JAX,WR,WR,2025,2026,46,1,2.044838078066014,1.044838078066014,0.09686550568317548,21.110074877988076,0.03353869610360397,0.0,0.03353869610360397,0.7080043860571668,1.7528424641231808,2.752842464123181,Positive
00-0039921,Trey Benson,ARI,RB,RB,2025,2026,45,0,1.6457222068896198,1.6457222068896198,0.0912346153093353,18.038353110929666,0.05434024864495984,0.050951202384003295,0.0033890462609565478,0.0611328131644101,1.7068550200540298,1.7068550200540298,Positive
00-0040736,Mason Taylor,NYJ,TE,TE,2025,2026,65,1,2.628926579179314,1.6289265791793142,0.59866677348097,4.391301965688398,0.012565776554764535,0.0,0.012565776554764535,0.05518011928533869,1.6841066984646529,2.6841066984646527,Positive
00-0033293,Aaron Jones,MIN,RB,RB,2025,2026,173,3,3.813522664314291,0.813522664314291,0.3035660377906605,12.562415387666327,0.06657641786821673,0.0,0.06657641786821673,0.8363606162833893,1.6498832805976802,4.64988328059768,Positive
00-0040584,Gunnar Helm,TEN,TE,TE,2025,2026,55,2,2.6702376426659815,0.6702376426659815,0.45556011099171706,5.861438651538417,0.3501156981163992,0.18486118379954988,0.16525451431684932,0.9686291975579893,1.6388668402239708,3.6388668402239706,Positive
00-0034383,Dalton Schultz,HOU,TE,TE,2025,2026,106,3,4.771668025545798,1.7716680255457984,0.7916430811138144,6.027549711963915,0.02205643240996489,0.050024078443192115,-0.027967646033227225,-0.1685763767918875,1.6030916487539109,4.603091648753911,Positive
00-0039356,Ja'Tavion Sanders,CAR,TE,TE,2025,2026,34,1,2.560700877264661,1.5607008772646611,0.3940282339341581,6.498775104762044,0.0,0.0004441794988187557,-0.0004441794988187557,-0.002886622668969011,1.5578142545956921,2.557814254595692,Positive
00-0038129,Cade Otton,TB,TE,TE,2025,2026,81,1,2.5503360257765784,1.5503360257765784,0.8133093279470958,3.1357515992272904,0.0,0.0,0.0,0.0,1.5503360257765784,2.5503360257765784,Positive
00-0036407,Jerry Jeudy,CLE,WR,WR,2025,2026,107,2,3.748776222196564,1.7487762221965641,0.41652048975466527,9.000220431903916,0.0,0.024220706370165854,-0.024220706370165854,-0.21799169634791205,1.530784525848652,3.5307845258486523,Positive
00-0033906,Alvin Kamara,NO,RB,RB,2025,2026,170,1,4.218610357209901,3.2186103572099007,0.46900350627263804,8.994837566859395,0.015558329923163448,0.20975761342422716,-0.19419928350106372,-1.746791010692546,1.4718193465173548,2.471819346517355,Neutral
